SYMBOL,2023-09-01,2023-01-03,2022-09-15,2023-09-15
DAAWAT,164.7,119.45,108.5,166.8
DABUR,553.35,560.85,563.45,565.5
DALBHARAT,2123.55,1872.15,1764.35,2387.6
DALMIASUG,376.4,388.35,354.45,464.0
DAMODARIND,49.25,51.95,54.2,53.2
DANGEE,12.7,18.6,26.5,11.0
DATAMATICS,564.95,283.45,333.15,596.35
DATAPATTNS,2469.8,1138.95,1181.55,2072.75
DBCORP,227.65,130.45,146.45,243.3
DBL,321.8,223.4,240.95,311.35
DBOL,166.9,202.85,,178.65
DBREALTY,150.15,93.2,103.65,163.3
DBSTOCKBRO,28.65,24.1,31.6,29.15
DCAL,157.95,94.55,106.9,156.9
DCBBANK,117.25,130.8,111.95,120.25
DCM,78.1,83.35,85.05,74.75
DCMNVL,174.4,169.65,198.55,166.8
DCMSHRIRAM,1034.55,894.25,1107.95,1037.35
DCMSRIND,135.25,74.1,84.65,132.35
DCW,54.2,50.85,57.0,58.5
DCXINDIA,341.7,223.0,,308.1
DECCANCE,530.2,505.3,567.75,549.4
DEEPAKFERT,603.75,693.75,919.35,637.3
DEEPAKNTR,2226.05,1998.95,2230.35,2242.25
DEEPINDS,244.05,290.75,239.6,259.8
DELHIVERY,438.15,337.45,579.95,439.25
DELPHIFX,382.25,389.9,411.1,376.15
DELTACORP,182.7,216.7,221.5,180.7
DELTAMAGNT,98.15,79.9,75.35,
DEN,43.6,35.2,36.4,47.1
DENORA,1627.75,672.9,814.15,1640.65
DEVYANI,197.05,177.75,190.3,211.45
DGCONTENT,19.55,16.65,16.35,20.75
DHAMPURSUG,257.65,244.6,230.7,312.75
DHANBANK,23.8,21.1,12.7,29.25
DHANUKA,789.1,719.85,712.3,845.7
DHARMAJ,217.0,212.8,,213.65
DHRUV,55.0,56.35,61.3,60.55
DHUNINV,703.45,683.15,704.5,751.7
DIAMONDYD,939.95,869.55,798.65,887.6
DICIND,473.15,383.25,392.35,439.6
DIL,10.0,13.55,33.4,
DISHTV,18.1,18.8,16.3,19.6
DIVGIITTS,938.05,,,957.45
