SYMBOL,2022-09-15,2023-01-03,2023-09-01,2023-09-15
INDIAMART,4697.1,4351.15,3111.85,3086.45
INDIANB,204.85,296.8,377.1,397.7
INDIANCARD,222.0,233.65,212.1,265.9
INDIANHUME,176.55,153.85,285.5,262.55
INDIGO,1902.1,2040.95,2438.9,2391.45
INDIGOPNTS,1580.8,1308.25,1583.2,1535.15
INDNIPPON,492.3,406.7,474.6,539.9
INDOAMIN,140.4,93.85,118.4,125.6
INDOCO,359.35,410.65,311.85,362.1
INDORAMA,61.95,59.95,51.95,50.05
INDSWFTLAB,60.05,68.45,103.65,91.15
INDTERRAIN,67.05,75.15,54.85,61.0
INDUSINDBK,1195.85,1240.95,1416.55,1450.0
INDUSTOWER,203.8,189.7,181.7,188.25
INFIBEAM,16.65,16.9,14.75,17.75
INFOBEAN,632.1,533.15,484.8,468.3
INFOMEDIA,5.1,5.3,5.15,5.05
INFRABEES,554.47,551.36,623.7,651.98
INFY,1432.8,1522.55,1443.85,1511.6
INGERRAND,2053.15,1928.35,3187.75,2992.6
INOXGREEN,,47.1,68.65,68.9
INOXWIND,157.9,108.6,206.05,197.65
INSECTICID,995.0,727.25,506.0,496.8
INTELLECT,585.3,447.6,733.05,717.4
INTENTECH,81.9,69.35,79.35,85.7
INTLCONV,63.1,57.15,84.4,83.55
INVENTURE,3.2,2.7,2.05,2.35
IOB,19.1,32.25,30.1,39.5
IOC,71.55,78.5,89.05,91.95
IOLCP,397.4,371.95,431.3,503.4
IONEXCHANG,2236.4,2777.9,568.4,521.95
IPCALAB,875.25,849.95,866.8,930.75
IPL,308.85,249.15,296.55,286.5
IRB,232.7,314.8,30.4,30.85
IRCON,42.3,60.75,118.7,145.9
IRCTC,724.35,644.05,688.35,695.65
IRFC,22.3,33.85,55.75,79.35
IRISDOREME,193.5,251.35,75.55,74.25
ISEC,531.2,502.1,624.7,639.35
ISFT,152.25,147.35,128.85,142.4
ISGEC,544.7,479.7,694.4,735.95
ISMTLTD,54.8,55.55,80.95,76.65
ITBEES,28.79,30.18,33.07,35.07
ITC,334.1,331.1,441.05,448.35
ITDC,375.6,355.35,389.65,388.65
ITDCEM,113.8,123.55,234.35,226.7
ITI,111.85,105.2,120.4,196.55
IVP,153.85,127.65,165.6,173.8
IVZINGOLD,4479.35,4985.55,5252.05,5215.0
IWEL,797.95,966.35,2715.85,2551.05
J&KBANK,33.3,57.9,88.9,104.6
JAGRAN,70.6,75.05,107.9,104.7
JAGSNPHARM,387.2,369.45,422.25,440.95
JAICORPLTD,181.3,151.0,241.65,213.6
JAIPURKURT,57.1,,91.0,80.65
JAMNAAUTO,119.9,105.05,121.65,122.05
JASH,800.3,854.55,1489.95,1354.55
JAYAGROGN,220.45,180.25,204.7,207.6
JAYBARMARU,181.15,162.3,285.45,280.65
JAYNECOIND,32.7,25.7,32.8,39.0
JAYSREETEA,99.1,100.15,96.85,99.3
JBCHEPHARM,1953.1,1982.85,2796.15,2956.95
JCHAC,1533.9,1139.85,1310.85,1288.1
JINDALPHOT,352.55,348.1,369.9,377.0
JINDALPOLY,982.4,783.45,681.35,665.1
JINDALSAW,88.4,110.5,360.7,369.8
JINDALSTEL,446.35,598.5,701.1,711.45
JINDRILL,267.85,292.95,552.4,564.3
JINDWORLD,246.85,435.55,388.7,382.35
JISLJALEQS,42.2,33.45,62.3,61.55
JKCEMENT,2914.2,2964.65,3341.0,3276.8
JKIL,301.0,283.75,419.9,408.1
JKLAKSHMI,616.2,787.05,667.35,654.15
JKPAPER,435.25,416.0,367.7,396.1
JKTYRE,186.9,188.35,267.65,258.7
JMA,73.55,69.55,79.6,77.4
JMFINANCIL,67.9,73.35,86.1,86.0
JOCIL,199.9,198.05,192.0,210.9
JPASSOCIAT,9.15,10.95,11.25,12.95
JPOLYINVST,408.15,453.05,486.1,470.3
JPPOWER,8.5,7.65,8.2,10.1
JSL,137.4,248.7,463.65,491.2
JSWENERGY,340.45,289.95,354.25,398.85
JSWHL,4782.25,4419.05,4515.7,4773.35
JSWSTEEL,689.65,767.9,806.4,812.85
JTEKTINDIA,102.85,145.2,135.55,144.35
JTLIND,,305.35,417.75,218.35
JUBLFOOD,634.5,507.35,506.05,533.4
JUBLINDS,,403.15,699.4,687.2
JUBLINGREA,500.8,534.15,518.05,495.55
JUBLPHARMA,331.75,359.9,469.85,433.55
JUNIORBEES,480.38,448.58,476.02,489.03
JUSTDIAL,600.1,601.3,765.65,717.6
JWL,,98.9,360.5,351.65
JYOTHYLAB,190.2,204.05,365.55,357.15
KABRAEXTRU,403.0,491.3,440.05,464.75
KAJARIACER,1243.85,1150.15,1459.0,1343.0
KAKATCEM,230.4,227.85,226.1,231.6
KALYANKJIL,97.4,124.7,245.5,228.65
KAMDHENU,,384.75,303.05,297.5
KANORICHEM,154.75,152.4,121.7,129.1
KANPRPLA,118.5,103.0,121.5,119.0
KANSAINER,505.05,428.15,340.0,326.65
KAPSTON,141.05,135.25,157.35,161.7
KARURVYSYA,84.75,112.0,121.75,132.95
KAYA,365.5,322.55,368.85,350.65
KAYNES,,738.35,1990.9,2119.25
KCP,119.55,113.0,115.6,119.6
KCPSUGIND,22.85,31.6,32.55,36.5
KDDL,908.25,1049.8,1892.35,1986.45
KEC,450.75,474.3,669.95,660.25
KECL,43.8,63.35,111.4,109.45
KEI,1524.75,1515.4,2681.4,2651.65
KELLTONTEC,70.1,,90.15,91.6
KENNAMET,2597.8,2294.75,2822.5,2757.25
KEYFINSERV,137.9,106.85,117.45,112.35
KFINTECH,,358.25,443.65,464.95
KHADIM,282.0,239.0,275.1,275.45
KHAICHEM,82.95,78.35,68.8,67.7
KICL,1995.6,2178.8,2463.3,2783.55
KIMS,1241.85,1507.4,1933.55,2055.3
KINGFA,,1309.7,2389.3,2359.85
KIOCL,210.65,227.95,222.8,262.2
KIRIINDUS,505.5,471.3,276.6,281.4
KIRLFER,258.8,365.6,479.1,463.75
KIRLOSBROS,344.6,321.1,830.0,813.2
KIRLOSENG,248.2,316.3,491.65,485.3
KIRLOSIND,1627.45,1993.1,3553.65,3487.8
KIRLPNU,,,624.4,609.25
KITEX,225.65,192.75,198.4,198.3
KKCL,419.35,512.2,673.25,696.95
KMSUGAR,29.0,30.4,31.4,33.95
KNRCON,251.1,266.2,274.35,276.15
KOLTEPATIL,351.3,269.35,452.85,456.05
KOPRAN,180.65,148.8,235.7,229.6
KOTAKALPHA,30.97,28.73,33.89,34.64
KOTAKBANK,1934.15,1832.85,1771.1,1813.9
