SYMBOL,momentum_total
SENCO,30.640
SUDARSCHEM,30.638
EIHAHOTELS,30.638
SETFNN50,30.633
BANCOINDIA,30.632
SHANTIGEAR,30.632
SULA,30.632
IFGLEXPOR,30.631
KIRLOSENG,30.631
HPAL,30.628
SPLPETRO,30.626
JUNIORBEES,30.626
JSL,30.623
HEUBACHIND,30.623
EMUDHRA,30.622
GODREJAGRO,30.622
VIJAYA,30.622
STAR,30.620
DREAMFOLKS,30.619
BIKAJI,30.619
RSYSTEMS,30.618
GNA,30.618
POKARNA,30.618
JUBLINGREA,30.618
DREDGECORP,30.617
HINDALCO,30.617
INSECTICID,30.616
CHEMPLASTS,30.615
IOLCP,30.608
KOTAKPSUBK,30.607
BSOFT,30.607
VALIANTORG,30.606
GRAPHITE,30.604
CIEINDIA,30.602
UJJIVAN,30.601
ROSSELLIND,30.599
BFINVEST,30.598
AARTIIND,30.597
TECHNOE,30.596
APCOTEXIND,30.596
MAYURUNIQ,30.595
LINCOLN,30.594
CREATIVE,30.592
CHENNPETRO,30.589
ELGIEQUIP,30.588
RITES,30.588
IONEXCHANG,30.586
SMSLIFE,30.584
360ONE,30.581
GOACARBON,30.579
ZENSARTECH,30.579
RAJESHEXPO,30.578
STOVEKRAFT,30.574
DLF,30.574
IGPL,30.573
JUBLFOOD,30.573
ICICIFMCG,30.571
KSL,30.571
TARSONS,30.569
IFBAGRO,30.569
INDNIPPON,30.566
SPAL,30.560
SYRMA,30.560
TMB,30.560
DPABHUSHAN,30.559
EMAMILTD,30.558
SBCL,30.557
DECCANCE,30.556
GULFOILLUB,30.554
VIMTALABS,30.552
RAMKY,30.551
SUVENPHAR,30.548
CHALET,30.546
EIDPARRY,30.543
JINDRILL,30.541
DABUR,30.540
FACT,30.539
THYROCARE,30.536
LLOYDSME,30.533
MAXHEALTH,30.533
GODREJIND,30.531
MAHSEAMLES,30.531
ONWARDTEC,30.530
RATEGAIN,30.529
HINDWAREAP,30.528
MAHLIFE,30.528
MARICO,30.526
AVALON,30.526
AARTIDRUGS,30.522
ATULAUTO,30.521
IIFL,30.521
PRAJIND,30.520
HARIOMPIPE,30.520
HLEGLAS,30.519
UNIPARTS,30.519
MATRIMONY,30.516
RUSTOMJEE,30.516
CARTRADE,30.513
ICICIPRULI,30.513
DATAMATICS,30.512
SUNTV,30.512
SBIN,30.510
SONACOMS,30.509
ASAHIINDIA,30.508
ANDHRAPAP,30.505
KSCL,30.504
ALLSEC,30.502
KIRLPNU,30.501
